population,fit,lwr,upr
176e3,2.0291769529608086,-0.03695998336841866,4.095313889290036
177e3,2.0368649437632786,-0.029272727102134688,4.103002614628692
178e3,2.0445529345657487,-0.021585482017510316,4.110691351149008
179e3,2.0522409253682183,-0.01389824811453444,4.118380098850971
18e4,2.0599289161706884,-0.0062110253931937365,4.1260688577345705
181e3,2.067616906973158,0.0014761861465237835,4.133757627799792
182e3,2.075304897775628,0.009163386504630555,4.141446409046626
183e3,2.082992888578098,0.016850575681140345,4.149135201475056
184e3,2.0906808793805682,0.024537753676065144,4.156824005085071
185e3,2.0983688701830383,0.03222492048941872,4.1645128198766574
186e3,2.1060568609855084,0.03991207612121439,4.172201645849802
187e3,2.1137448517879784,0.047599220571465484,4.179890483004492
188e3,2.121432842590448,0.055286353840184876,4.187579331340711
189e3,2.129120833392918,0.06297347592738856,4.195268190858448
19e4,2.1368088241953878,0.07066058683308851,4.202957061557687
191e3,2.144496814997858,0.07834768655730073,4.210645943438415
192e3,2.152184805800328,0.08603477510003898,4.218334836500617
193e3,2.159872796602798,0.09372185246131792,4.226023740744278
194e3,2.167560787405268,0.1014089186411522,4.233712656169384
195e3,2.175248778207738,0.10909597363955692,4.24140158277592
196e3,2.1829367690102077,0.11678301745654718,4.249090520563868
197e3,2.190624759812678,0.1244700500921394,4.256779469533216
198e3,2.1983127506151474,0.13215707154634693,4.264468429683948
199e3,2.2060007414176175,0.1398440818191875,4.272157401016047
2e5,2.2136887322200876,0.14753108091067668,4.279846383529499
201e3,2.2213767230225576,0.15521806882083,4.287535377224286
202e3,2.2290647138250277,0.1629050455496639,4.2952243821003915
203e3,2.2367527046274978,0.17059201109719524,4.3029133981578
204e3,2.2444406954299674,0.17827896546344002,4.310602425396494
205e3,2.2521286862324374,0.18596590864841556,4.318291463816459
206e3,2.259816677034907,0.19365284065213828,4.325980513417676
207e3,2.267504667837377,0.2013397614746264,4.333669574200128
208e3,2.275192658639847,0.2090266711158968,4.341358646163798
209e3,2.2828806494423173,0.21671356957596632,4.349047729308668
21e4,2.2905686402447873,0.22440045685485366,4.356736823634721
211e3,2.2982566310472574,0.23208733295257655,4.364425929141938
212e3,2.3059446218497275,0.23977419786915277,4.372115045830302
213e3,2.313632612652197,0.24746105160460052,4.379804173699794
214e3,2.321320603454667,0.2551478941589389,4.3874933127503954
215e3,2.329008594257137,0.26283472553218523,4.395182462982088
216e3,2.336696585059607,0.27052154572435994,4.402871624394853
217e3,2.344384575862077,0.27820835473548167,4.410560796988673
218e3,2.352072566664547,0.2858951525655691,4.418249980763525
219e3,2.359760557467017,0.2935819392146417,4.425939175719392
22e4,2.367448548269487,0.3012687146827191,4.433628381856256
221e3,2.3751365390719568,0.3089554789698208,4.441317599174093
222e3,2.382824529874427,0.31664223207596676,4.449006827672887
223e3,2.3905125206768965,0.324328974001177,4.456696067352616
224e3,2.3982005114793665,0.3320157047454728,4.46438531821326
225e3,2.4058885022818366,0.33970242430887376,4.4720745802548
226e3,2.4135764930843067,0.34738913269140026,4.479763853477213
